name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Dylan Matthews (Dylan Is In Trouble/ Will Not Participate),entp,255,95%,93%,96%,100%,Ne,Ti,Fe,Si,so/sp,739,ILE,RCUEI,FLVE,Sanguine-Phlegmatic,218,19,20,13,12,5,19,12,19,9,9,3,13
Gina (Gibi ASMR),entp,240,100%,72%,55%,69%,Ne,Ti,Fe,Si,so/sx,729,ESE,SCUAI,EFVL,Sanguine-Phlegmatic,123,25,24,14,6,3,16,19,10,11,4,2,15
Tucker Carlson,entp,217,97%,81%,94%,86%,Ne,Ti,Fe,Si,so/sp,368,LIE,SCUEI,VLFE,Choleric-Phlegmatic,156,20,28,26,15,7,19,12,10,20,12,6,11
Niall (Pyrocynical),entp,219,95%,98%,79%,82%,Ne,Ti,Fe,Si,so/sx,792,IEE,SCUAI,VLEF,Phlegmatic-Sanguine,161,21,22,17,16,7,26,16,17,12,11,4,11
Milo Yiannopoulos,entp,249,99%,88%,56%,96%,Ne,Ti,Fe,Si,so/sx,378,EIE,SLUEI,VELF,Sanguine-Choleric,132,16,18,20,15,4,10,11,14,16,9,3,8
Paul Rudd,entp,251,96%,97%,83%,96%,Ne,Ti,Fe,Si,sp/so,794,ILE,SCUAI,LFEV,Sanguine-Phlegmatic,201,13,14,13,8,3,16,11,13,10,6,3,15
Olavo de Carvalho,entp,157,94%,94%,91%,78%,Ne,Ti,Fe,Si,so/sp,583,ILE,SLUEI,VLEF,Choleric [Dominant],110,27,39,24,20,11,37,16,14,18,11,11,16
Manuel Arturo Coronado (Doomentio),entp,147,90%,93%,94%,78%,Ne,Ti,Fe,Si,sx/so,351,LIE,RLUEI,LVFE,Choleric-Phlegmatic,102,43,42,23,18,11,40,23,15,11,11,4,21
Host Eric / Eric Strauss (Talking with Famous People),entp,217,89%,67%,79%,81%,Ne,Ti,Fe,Si,sx/sp,784,ILE,SLUEI,VLEF,Choleric [Dominant],139,28,30,34,7,5,9,19,20,18,5,2,3
Kevin O'Reilly (Call Me Kevin),entp,196,94%,99%,92%,97%,Ne,Ti,Fe,Si,sp/so,792,IEE,SCUAI,EFLV,Sanguine-Phlegmatic,177,21,27,16,15,4,28,19,16,9,15,4,28
Lucas Vinicius (Inutilismo),entp,206,82%,97%,97%,100%,Ne,Ti,Fe,Si,sp/so,974,ILE,RCUAI,ELVF,Sanguine-Melancholic,161,30,24,12,13,2,22,14,15,11,7,2,12
David Hume,entp,208,93%,82%,96%,89%,Ne,Ti,Fe,Si,sp/so,359,LIE,SCUAI,LFVE,Sanguine-Melancholic,155,24,22,26,8,11,14,19,9,15,8,5,10
Akinator,entp,217,93%,97%,96%,73%,Ne,Ti,Fe,Si,so/sx,594,LIE,SCOAI,VLEF,Sanguine [Dominant],150,22,17,10,16,3,23,17,11,10,7,2,15
Momo,entp,184,80%,61%,61%,57%,Ne,Ti,Fe,Si,so/sx,873,SLE,SLUEI,VLFE,Choleric-Melancholic,73,27,27,13,21,11,30,9,6,4,7,3,10
Oliver Tree,entp,224,93%,95%,57%,96%,Ne,Ti,Fe,Si,sx/sp,847,ILE,SLUEI,VFEL,Choleric-Sanguine,113,15,13,7,7,3,10,6,8,3,4,2,8
Teto Kasane,entp,233,98%,68%,67%,100%,Ne,Ti,Fe,Si,so/sp,784,ILE,SLUEI,FVLE,Sanguine-Choleric,149,15,15,8,9,4,22,10,7,7,8,4,17
Bill Hader,entp,221,74%,99%,83%,99%,Ne,Ti,Fe,Si,sp/so,649,ILE,SCUAI,ELVF,Sanguine [Dominant],131,12,15,12,6,3,15,9,12,8,5,3,8
Bill Maher,entp,192,99%,89%,91%,62%,Ne,Ti,Fe,Si,so/sp,873,LIE,SCOEI,VLEF,Choleric-Phlegmatic,98,14,23,31,7,3,18,11,15,18,5,2,9
Katherine Fauvre,entp,116,98%,91%,78%,76%,Ne,Ti,Fe,Si,sx/sp,874,LIE,SLUAI,VLFE,Choleric [Dominant],67,47,43,39,10,13,14,32,34,13,5,7,5
Mutahar Anas (SomeOrdinaryGamers),entp,204,89%,98%,78%,95%,Ne,Ti,Fe,Si,so/sp,694,IEE,SCUAI,LVEF,Phlegmatic-Sanguine,134,23,15,16,11,4,11,16,7,10,8,3,10
Shah Rukh Khan,entp,216,97%,100%,56%,50%,Ne,Ti,Fe,Si,so/sx,378,LIE,SLOEI,EVFL,Phlegmatic-Choleric,104,17,20,22,9,4,13,12,7,13,4,1,7
Pink Guy,entp,181,98%,97%,89%,99%,Ne,Ti,Fe,Si,so/sx,748,ILE,SLUEN,FLEV,Sanguine [Dominant],154,27,18,10,14,8,26,15,13,10,9,4,21
Jürgen Klopp,entp,238,100%,95%,57%,88%,Ne,Ti,Fe,Si,so/sx,731,EIE,SLOAI,VFLE,Sanguine-Choleric,133,14,16,15,6,4,10,8,6,8,3,2,7
Erwin Schrödinger,entp,174,89%,92%,94%,94%,Ne,Ti,Fe,Si,so/sp,594,ILE,SCUEI,LVFE,Phlegmatic [Dominant],153,18,21,27,17,11,14,14,16,16,10,6,11
Cem Yılmaz,entp,207,99%,96%,98%,66%,Ne,Ti,Fe,Si,so/sp,784,LIE,SCOEI,VLFE,Sanguine-Choleric,130,14,20,23,2,2,11,11,7,22,1,2,9
Zak Ahmed (Skeppy),entp,167,99%,81%,95%,99%,Ne,Ti,Fe,Si,so/sx,739,ILE,SLUAN,EVFL,Sanguine [Dominant],126,28,24,12,8,3,20,25,23,10,4,3,15
Chen (EXO),entp,228,76%,75%,65%,72%,Ne,Ti,Fe,Si,so/sp,962,IEE,SLUEN,VFLE,Sanguine [Dominant],140,13,11,7,9,3,21,7,5,7,6,3,15
Muudea Sedik (twomad),entp,151,98%,91%,95%,99%,Ne,Ti,Fe,Si,sx/so,784,ILE,SCUEI,VLEF,Sanguine-Choleric,134,23,23,29,13,6,21,16,17,24,12,3,18
"Ahmet ""Jahrein"" Sonuç",entp,167,96%,96%,96%,97%,Ne,Ti,Fe,Si,so/sp,873,ILE,SCUEI,FLVE,Phlegmatic-Choleric,153,20,18,16,8,2,19,15,6,12,5,1,11
Kurt Cobain,infp,1961,99%,95%,96%,94%,Fi,Ne,Si,Te,sp/sx,458,IEI,RLUAI,ELFV,Melancholic [Dominant],1724,369,305,183,191,95,348,221,192,151,102,54,262
Mitski,infp,1753,99%,98%,99%,72%,Fi,Ne,Si,Te,so/sp,469,IEI,RLUAI,ELFV,Melancholic [Dominant],1224,483,290,147,137,92,304,237,224,135,118,53,247
Melanie Martinez,infp,1873,98%,95%,99%,80%,Fi,Ne,Si,Te,sx/so,497,IEI,RLOAI,ELVF,Phlegmatic-Melancholic,1378,307,195,131,128,80,231,147,146,98,70,36,107
Princess Diana of Wales,infp,2365,98%,54%,99%,97%,Fi,Ne,Si,Te,so/sx,629,IEI,RLUAI,ELFV,Phlegmatic [Dominant],1210,140,113,98,63,26,135,98,78,62,37,14,98
Johnny Depp,infp,1511,94%,93%,94%,97%,Fi,Ne,Si,Te,sp/sx,496,IEI,RCUAI,EFLV,Melancholic-Sanguine,1290,151,122,101,58,24,113,112,79,52,28,13,71
David Bowie,infp,1277,89%,72%,93%,92%,Fi,Ne,Si,Te,sx/sp,478,EIE,RLUEI,EVLF,Sanguine-Melancholic,693,144,111,82,51,30,96,92,60,63,21,16,70
Keanu Reeves,infp,1429,98%,73%,96%,90%,Fi,Ne,Si,Te,sp/sx,964,SLI,RCUAI,FELV,Phlegmatic [Dominant],904,83,61,70,33,15,88,70,44,28,25,10,69
Y/N,infp,1245,94%,42%,97%,76%,Fi,Ne,Si,Te,sx/so,469,IEI,RLUAI,EFVL,Melancholic [Dominant],463,156,133,49,76,43,124,87,56,20,20,10,52
Björk,infp,841,95%,94%,98%,98%,Fi,Ne,Si,Te,sx/sp,497,SEI,RCUAI,ELFV,Phlegmatic [Dominant],740,187,199,71,46,28,93,147,77,48,41,21,51
Timothée Chalamet,infp,1174,83%,92%,96%,93%,Fi,Ne,Si,Te,so/sx,649,IEI,SCUAI,EFLV,Phlegmatic-Sanguine,862,115,76,56,31,17,85,48,38,22,17,8,57
Robert Pattinson,infp,1050,93%,80%,92%,95%,Fi,Ne,Si,Te,sp/so,479,IEI,RCUEI,EVLF,Phlegmatic-Sanguine,729,105,89,50,26,16,70,54,47,30,14,10,45
Son Chaeyoung (TWICE),infp,984,98%,60%,98%,99%,Fi,Ne,Si,Te,sp/sx,497,SEI,RCUEI,EFLV,Phlegmatic-Sanguine,577,104,112,38,60,18,89,92,64,28,29,10,58
Franz Kafka,infp,797,99%,99%,86%,95%,Fi,Ne,Si,Te,sx/sp,549,ILI,RLUAI,ELVF,Melancholic [Dominant],657,126,123,60,41,27,103,89,69,44,35,17,93
Gerard Way,infp,753,97%,92%,97%,97%,Fi,Ne,Si,Te,sx/sp,469,IEI,RLUAI,ELVF,Melancholic [Dominant],642,135,96,57,42,30,123,104,70,45,32,21,98
IU,infp,874,98%,89%,98%,79%,Fi,Ne,Si,Te,sp/so,946,EII,RCOAI,FEVL,Melancholic-Phlegmatic,654,106,90,44,29,11,69,79,61,38,20,4,51
George “Joji” Miller,infp,867,66%,91%,74%,98%,Fi,Ne,Si,Te,sx/sp,479,IEI,RLUEI,FELV,Melancholic-Sanguine,490,102,75,50,37,23,73,73,48,31,19,10,57
Edgar Allan Poe,infp,720,100%,99%,96%,98%,Fi,Ne,Si,Te,sp/sx,451,IEI,RLUEI,ELVF,Melancholic [Dominant],670,90,71,63,37,22,121,66,54,42,31,19,113
Sylvia Plath,infp,630,99%,99%,99%,80%,Fi,Ne,Si,Te,sp/sx,459,IEI,RLUEI,ELVF,Melancholic [Dominant],494,118,91,68,54,26,97,83,76,65,25,26,88
Albert Camus,infp,704,97%,85%,92%,93%,Fi,Ne,Si,Te,sp/sx,496,IEI,RCUEI,ELFV,Melancholic-Phlegmatic,523,81,77,81,50,24,72,60,27,41,21,13,48
Thom Yorke,infp,651,99%,99%,93%,91%,Fi,Ne,Si,Te,sp/sx,451,IEI,RLUEI,ELVF,Melancholic [Dominant],561,105,93,63,43,26,85,70,59,56,27,18,66
Tyler Joseph,infp,620,98%,98%,96%,95%,Fi,Ne,Si,Te,sp/sx,469,IEI,RLUAI,ELVF,Melancholic [Dominant],547,101,113,39,33,22,90,47,61,32,21,14,64
Fiona Apple,infp,506,97%,96%,97%,97%,Fi,Ne,Si,Te,sx/sp,469,IEI,RLUEI,ELVF,Melancholic [Dominant],464,151,120,56,69,44,98,85,70,50,38,40,88
George R. R. Martin,infp,888,98%,99%,50%,98%,Fi,Ne,Si,Te,sx/sp,549,ILI,RLUAI,VFLE,Phlegmatic-Melancholic,428,54,47,40,21,11,27,36,35,32,16,4,23
Andrew Garfield,infp,815,91%,98%,96%,95%,Fi,Ne,Si,Te,so/sx,946,EII,RCUAI,FEVL,Phlegmatic-Sanguine,689,54,64,29,27,13,60,37,34,21,17,7,44
Hayao Miyazaki,infp,734,96%,97%,91%,79%,Fi,Ne,Si,Te,sp/sx,146,EII,RCOEI,EVLF,Melancholic [Dominant],541,57,58,56,34,18,52,43,31,39,17,10,39
William Shakespeare,infp,704,85%,98%,96%,95%,Fi,Ne,Si,Te,sx/so,469,EIE,SLUAI,ELFV,Sanguine-Phlegmatic,564,56,47,50,9,16,43,44,27,44,7,8,26
Robert Smith,infp,498,99%,98%,98%,99%,Fi,Ne,Si,Te,sx/sp,496,IEI,RLUEI,ELVF,Melancholic [Dominant],482,91,71,63,58,31,80,55,46,39,37,17,62
Joaquin Phoenix,infp,647,98%,94%,98%,97%,Fi,Ne,Si,Te,sp/sx,461,IEI,RLUEI,EFVL,Melancholic-Phlegmatic,581,53,42,35,31,8,46,42,25,22,20,5,34
Tim Burton,infp,574,97%,98%,95%,98%,Fi,Ne,Si,Te,sp/sx,459,IEI,RLUAI,ELVF,Melancholic-Phlegmatic,521,72,64,42,23,20,59,35,38,33,21,14,47
Morrissey,infp,485,97%,97%,97%,92%,Fi,Ne,Si,Te,so/sx,461,IEI,RLUEI,ELVF,Melancholic [Dominant],429,138,60,50,40,15,82,61,45,27,36,14,50
Tom Hiddleston,infp,725,83%,91%,97%,79%,Fi,Ne,Si,Te,sp/so,296,EII,SCUAI,FELV,Phlegmatic-Melancholic,522,71,48,31,17,9,46,28,41,18,8,5,38
Jaiden Dittfach (Jaiden Animations),infp,584,99%,91%,83%,82%,Fi,Ne,Si,Te,sp/so,964,SEI,RLOAI,ELFV,Phlegmatic-Melancholic,397,89,70,25,34,20,57,68,41,15,27,12,48
David Lynch,infp,554,97%,95%,94%,73%,Fi,Ne,Si,Te,sx/sp,548,IEI,RLUEI,ELVF,Melancholic-Phlegmatic,368,73,93,61,40,21,45,49,31,36,16,11,28
Clarice Lispector,infp,578,99%,97%,54%,53%,Fi,Ne,Si,Te,sp/sx,459,IEI,RLUEI,ELVF,Melancholic-Phlegmatic,285,68,58,52,33,19,75,48,35,32,16,16,47
Kurtis Conner,infp,625,91%,96%,97%,85%,Fi,Ne,Si,Te,sp/so,962,EII,RCOAI,EFLV,Phlegmatic [Dominant],456,49,52,21,18,11,52,38,33,14,14,9,39
Persephone,infp,473,97%,84%,99%,96%,Fi,Ne,Si,Te,sx/so,496,IEI,RLUAI,EFVL,Melancholic [Dominant],366,72,84,50,39,17,77,56,53,46,36,10,63
Winona Ryder,infp,529,97%,96%,98%,96%,Fi,Ne,Si,Te,sp/sx,469,IEI,RLUAI,ELFV,Melancholic [Dominant],480,56,56,50,30,21,64,50,40,34,21,10,50
Jim Morrison,infp,475,78%,92%,80%,98%,Fi,Ne,Si,Te,sx/sp,458,IEI,RLUEI,ELVF,Melancholic [Dominant],314,74,80,56,35,12,62,58,35,24,21,8,31
Heath Ledger,infp,548,95%,83%,97%,98%,Fi,Ne,Si,Te,sx/sp,497,SEI,RCUAI,ELFV,Phlegmatic-Sanguine,428,47,53,34,26,11,42,35,22,14,9,6,32
Stuart “2-D” Pot,infp,430,98%,96%,98%,99%,Fi,Ne,Si,Te,sp/so,964,SEI,RLUAI,LEFV,Phlegmatic-Melancholic,397,86,72,36,49,23,85,48,52,23,38,11,62
YandereDev,infp,467,98%,97%,77%,89%,Fi,Ne,Si,Te,sx/sp,468,IEI,RLUEI,ELVF,Melancholic-Choleric,342,61,55,36,41,21,67,34,27,27,25,12,45
Sykkuno,infp,484,98%,89%,93%,87%,Fi,Ne,Si,Te,sp/so,962,SEI,RCOAI,FEVL,Phlegmatic [Dominant],383,72,64,27,20,9,64,49,39,20,13,6,56
"Mary, Mother of Jesus",infp,617,98%,55%,99%,54%,Fi,Ne,Si,Te,sp/sx,926,EII,RCOAI,ELVF,Phlegmatic-Melancholic,324,43,38,24,23,15,50,16,24,16,11,7,31
J. R. R. Tolkien,infp,606,99%,89%,87%,86%,Fi,Ne,Si,Te,sp/sx,649,EII,RCUAI,ELFV,Phlegmatic [Dominant],500,46,45,55,15,12,40,35,34,33,12,5,31
Ian Curtis,infp,404,99%,98%,95%,91%,Fi,Ne,Si,Te,sp/sx,469,ILI,RLUEI,ELFV,Melancholic [Dominant],349,64,51,33,38,11,61,46,29,20,24,8,54
JinSoul (LOONA),infp,533,98%,48%,98%,69%,Fi,Ne,Si,Te,so/sp,972,SEI,RCUAI,FELV,Phlegmatic-Sanguine,225,42,40,21,36,8,63,30,29,19,22,5,43
Natalie Wynn (ContraPoints),infp,379,79%,97%,95%,93%,Fi,Ne,Si,Te,so/sx,459,IEI,RLUAI,ELFV,Phlegmatic-Melancholic,267,77,71,38,22,23,36,57,34,29,17,15,18
Adam Driver,infp,478,94%,76%,81%,86%,Fi,Ne,Si,Te,sx/sp,954,SLI,RCUAI,FELV,Phlegmatic-Melancholic,298,48,39,36,8,3,46,33,29,23,7,2,23
Robin Skinner (Cavetown),infp,426,98%,94%,97%,96%,Fi,Ne,Si,Te,sx/sp,946,EII,RCOAN,EFLV,Phlegmatic-Melancholic,392,52,49,30,12,8,50,29,39,29,7,6,39
Sia,infp,430,89%,84%,97%,94%,Fi,Ne,Si,Te,so/sx,479,SEI,SLUEI,FVEL,Sanguine-Melancholic,301,35,32,23,15,6,40,21,21,16,9,3,21
Jamie Campbell-Bower,infp,466,72%,88%,67%,97%,Fi,Ne,Si,Te,so/sp,974,EIE,SLUAI,EFVL,Phlegmatic-Sanguine,176,38,37,16,22,15,36,15,14,12,11,5,17
Florence Welch,infp,336,93%,98%,99%,91%,Fi,Ne,Si,Te,sx/so,479,IEI,RLUAI,ELVF,Melancholic [Dominant],277,54,50,40,12,6,49,31,30,23,10,2,34
DK (SEVENTEEN),infp,405,41%,60%,100%,98%,Fi,Fi,Te,Te,so/sx,729,ESE,SLUAI,EFLV,Sanguine [Dominant],163,31,33,18,18,7,29,27,20,15,10,2,26
Fred Rogers,infp,304,98%,93%,96%,86%,Fi,Ne,Si,Te,so/sp,926,EII,RCOAI,LEVF,Phlegmatic [Dominant],250,34,53,30,13,9,26,22,26,27,12,5,23
Jack Stauber,infp,336,85%,99%,95%,76%,Fi,Ne,Si,Te,sx/sp,497,IEI,RLUAI,LEFV,Phlegmatic-Melancholic,194,40,28,19,23,8,43,20,17,16,12,4,24
Ticci Toby,infp,342,86%,96%,57%,99%,Fi,Ne,Si,Te,sx/sp,469,IEI,RLUEI,EFVL,Melancholic [Dominant],157,37,45,25,17,17,34,23,22,18,10,12,18
Victoria Pedretti,infp,344,78%,96%,99%,90%,Fi,Ne,Si,Te,sp/so,926,IEI,RCOAI,EFVL,Melancholic-Sanguine,239,36,39,19,12,2,26,20,18,10,7,2,22
Marlon Brando,infp,298,90%,73%,90%,86%,Fi,Ne,Si,Te,sx/sp,468,IEI,RLUEI,FEVL,Melancholic-Choleric,171,45,40,33,15,14,38,32,16,13,10,7,22
Isabel Briggs Myers,infp,366,98%,84%,85%,83%,Fi,Ne,Si,Te,sp/so,541,EII,RCUAI,LEVF,Phlegmatic-Melancholic,295,27,27,29,7,4,26,23,19,18,6,3,20
Pyotr Ilyich Tchaikovsky,infp,290,99%,97%,99%,93%,Fi,Ne,Si,Te,sx/so,459,IEI,RLUEI,ELVF,Melancholic [Dominant],259,28,26,17,9,9,46,14,17,13,7,4,42
Jean-Jacques Rousseau,infp,295,96%,97%,97%,95%,Fi,Ne,Si,Te,so/sx,415,IEI,RCOAI,ELFV,Phlegmatic-Melancholic,262,30,28,40,13,14,19,21,15,35,7,13,11
Andy Warhol,infp,287,95%,79%,80%,94%,Fi,Ne,Si,Te,sp/sx,479,IEI,RLOEI,ELFV,Phlegmatic [Dominant],159,29,29,20,19,18,20,18,11,14,9,9,11
Jisung (NCT),infp,313,99%,88%,97%,93%,Fi,Ne,Si,Te,sp/so,964,IEI,RCUAI,FEVL,Phlegmatic-Melancholic,252,34,31,14,9,3,19,33,20,9,9,3,16
Haruki Murakami,infp,285,99%,96%,97%,82%,Fi,Ne,Si,Te,sp/sx,459,ILI,RLOAI,ELFV,Melancholic-Phlegmatic,221,32,21,26,13,6,25,28,13,12,8,3,22
Syd Barrett,infp,225,83%,96%,99%,97%,Fi,Ne,Si,Te,sp/sx,497,IEI,RLUAI,EFLV,Phlegmatic-Sanguine,171,36,49,32,17,14,24,30,22,18,9,7,18
Stephen Colbert,infp,339,73%,94%,92%,95%,Fi,Ne,Si,Te,so/sp,614,IEE,RCUAI,EVLF,Sanguine-Melancholic,236,21,21,15,8,5,11,13,11,8,7,4,7
Virginia Woolf,infp,258,99%,100%,97%,94%,Fi,Ne,Si,Te,sx/sp,459,IEI,RLUEI,LEFV,Melancholic [Dominant],232,32,31,25,11,6,29,16,29,12,6,3,25
Victor 'Yun Li' Schiavon (Gemaplys),infp,250,97%,94%,68%,97%,Fi,Ne,Si,Te,sp/sx,954,LII,RCUAI,LEFV,Melancholic-Sanguine,158,30,37,10,19,5,30,22,29,5,11,2,23
Phil Lester (AmazingPhil),infp,298,62%,96%,100%,97%,Fi,Ne,Si,Te,sp/so,964,EII,RCUAI,EVFL,Sanguine-Phlegmatic,175,22,22,9,12,5,22,17,15,8,4,4,17
Bob Marley,infp,285,67%,91%,98%,94%,Fi,Ne,Si,Te,sp/sx,947,EII,SCUAI,EFVL,Phlegmatic-Sanguine,163,23,23,17,19,8,25,13,14,10,9,3,22
Joseph Quinn,infp,310,61%,97%,98%,98%,Fi,Ne,Si,Te,sp/so,946,EII,RCUAI,EFLV,Phlegmatic [Dominant],178,16,25,8,9,7,30,12,10,5,6,3,12
Juice Wrld,infp,250,95%,78%,96%,99%,Fi,Ne,Si,Te,sx/sp,479,EIE,RLUAI,EFLV,Melancholic-Sanguine,191,28,29,21,9,9,21,11,11,8,7,4,15
Per Yngve Ohlin (Dead),infp,161,99%,96%,93%,99%,Fi,Ne,Si,Te,sp/sx,458,IEI,RLUEI,ELFV,Melancholic [Dominant],144,50,38,30,36,13,47,29,24,23,21,8,39
Stromae,infp,300,53%,96%,98%,97%,Fi,Ne,Si,Te,so/sx,471,IEI,RLUAI,ELVF,Melancholic [Dominant],141,15,19,11,4,2,21,11,14,7,3,1,11
Avicii,infp,350,99%,62%,77%,97%,Fi,Ne,Si,Te,sp/sx,946,SEI,RLUAI,ELFV,Sanguine-Melancholic,140,14,13,17,5,1,17,12,10,6,4,1,14
Chadwick Boseman,infp,279,96%,91%,92%,86%,Fi,Ne,Si,Te,sp/so,947,EII,RCOAI,EFLV,Sanguine-Phlegmatic,219,16,21,13,4,1,17,13,18,11,3,1,11
George Lucas,infp,291,95%,84%,68%,87%,Fi,Ne,Si,Te,sx/sp,954,SEI,RCOEI,EVLF,Phlegmatic [Dominant],171,20,22,21,8,4,23,15,14,11,5,3,11
"Stefan Burnett ""MC Ride""",infp,206,99%,77%,95%,99%,Fi,Ne,Si,Te,sx/sp,458,ILI,RLUEI,ELVF,Melancholic-Choleric,149,37,33,25,19,7,34,31,21,12,18,6,29
Will Toledo,infp,176,98%,99%,90%,99%,Fi,Ne,Si,Te,sx/sp,549,IEI,RLUAI,ELVF,Melancholic-Phlegmatic,156,48,41,21,20,5,27,37,21,16,13,2,21
Winwin (WayV) (NCT),infp,285,98%,71%,96%,82%,Fi,Ne,Si,Te,sp/sx,962,IEI,RCUAI,FLVE,Phlegmatic [Dominant],154,26,15,18,5,1,22,23,8,13,4,1,18
Charlie Puth,infp,312,83%,64%,94%,97%,Fi,Ne,Si,Te,sp/sx,479,SEI,RLUAI,ELFV,Sanguine [Dominant],176,13,16,10,4,3,12,11,8,5,3,3,4
Shxtou (Shoto),infp,320,47%,98%,100%,91%,Fi,Ne,Si,Te,sx/sp,947,EIE,RLUAI,FELV,Melancholic-Sanguine,145,23,19,7,16,5,14,12,11,3,6,2,6
Wes Anderson,infp,249,98%,81%,96%,98%,Fi,Ne,Si,Te,sp/so,497,SEI,RCOAI,FLEV,Phlegmatic [Dominant],189,21,29,22,12,4,15,16,13,18,8,3,12
Thomas Raggi,infp,315,61%,80%,87%,100%,Fi,Ne,Si,Te,sp/so,947,IEE,SCUAI,EFLV,Sanguine-Melancholic,125,13,13,5,11,6,18,13,11,5,6,5,10
Emil Cioran,infp,194,99%,99%,67%,93%,Fi,Ne,Si,Te,sx/sp,458,IEI,RLUEI,ELVF,Melancholic [Dominant],121,36,27,25,11,9,32,19,17,20,10,5,29
Alicia Keys,infp,260,58%,63%,98%,60%,Fi,Ne,Si,Te,so/sx,947,IEI,RCUAI,ELFV,Phlegmatic-Sanguine,137,14,24,14,9,7,11,12,15,6,8,4,8
Eva Green,infp,230,96%,97%,89%,75%,Fi,Ne,Si,Te,sx/sp,451,IEI,RLUAI,ELFV,Melancholic [Dominant],154,26,21,31,10,6,26,20,8,16,5,3,20
Rumi,infp,237,98%,100%,97%,68%,Fi,Ne,Si,Te,sx/sp,459,IEI,RCUAI,ELVF,Melancholic [Dominant],158,21,22,26,6,3,23,13,12,12,4,3,13
Doja Cat,enfp,2838,98%,55%,95%,98%,Ne,Fi,Te,Si,sx/so,748,ESE,SLUAI,EFLV,Sanguine-Phlegmatic,1436,242,200,100,90,59,174,193,137,66,58,30,91
"Taehyung ""V"" (BTS)",enfp,2370,79%,97%,96%,99%,Ne,Fi,Te,Si,sx/so,478,IEE,SLUEI,EVLF,Sanguine-Melancholic,1775,310,367,101,157,58,236,178,205,83,81,34,169
Kanye West,enfp,1471,81%,79%,83%,92%,Ne,Fi,Te,Si,sx/so,478,EIE,SLUEI,VELF,Sanguine-Melancholic,907,256,215,162,117,83,145,206,120,117,96,38,93
John Lennon,enfp,1459,58%,98%,92%,95%,Ne,Fi,Te,Si,sx/so,485,EIE,SLUEI,VELF,Melancholic-Choleric,760,142,125,115,55,28,121,126,51,62,47,16,65
Mark Fischbach (Markiplier),enfp,1438,96%,96%,62%,96%,Ne,Fi,Te,Si,so/sx,739,ESE,SLUAI,EFLV,Sanguine [Dominant],834,119,131,59,50,23,113,102,64,36,28,11,79
Tom Holland,enfp,1131,96%,77%,96%,93%,Ne,Fi,Te,Si,so/sx,729,IEE,SCUAI,EFLV,Sanguine [Dominant],815,94,90,55,33,15,105,85,55,38,27,11,77
Jennifer Lawrence,enfp,1184,98%,88%,82%,70%,Ne,Fi,Te,Si,sx/so,738,SEE,SCUAI,VEFL,Sanguine [Dominant],556,78,62,52,25,9,60,62,39,23,12,6,55
Will Smith,enfp,1149,99%,62%,97%,92%,Ne,Fi,Te,Si,so/sx,379,ESE,SLOAI,VLFE,Sanguine [Dominant],631,79,72,66,39,19,82,58,55,26,14,6,62
Lee Felix (Stray Kids),enfp,1000,86%,74%,99%,73%,Ne,Fi,Te,Si,so/sx,962,ESE,SCOAI,EVFL,Phlegmatic-Sanguine,590,117,112,39,50,12,84,84,66,29,28,8,62
Sana (TWICE),enfp,771,98%,93%,98%,93%,Ne,Fi,Te,Si,sx/so,279,ESE,SCUAI,VEFL,Sanguine [Dominant],702,171,167,56,64,33,143,133,67,52,59,16,133
Chuu,enfp,735,99%,87%,96%,81%,Ne,Fi,Te,Si,sp/so,278,ESE,SCUAI,EFLV,Sanguine [Dominant],574,163,187,57,54,24,115,80,83,54,40,10,101
Anne Frank,enfp,813,93%,99%,98%,96%,Ne,Fi,Te,Si,sx/so,748,IEE,SLOAI,EVLF,Sanguine-Melancholic,724,96,109,62,27,18,85,81,62,51,22,15,73
Thomas Simons (TommyInnit),enfp,668,97%,88%,94%,98%,Ne,Fi,Te,Si,so/sp,738,EIE,SLUAI,EVLF,Sanguine-Choleric,560,102,108,44,41,26,117,60,42,33,30,20,63
Huening Kai (TXT),enfp,857,52%,51%,96%,91%,Fi,Fi,Te,Te,sp/so,279,ESE,SCUAI,FELV,Phlegmatic-Sanguine,346,98,79,20,31,11,66,54,44,16,17,6,48
Lil Nas X,enfp,719,97%,89%,96%,98%,Ne,Fi,Te,Si,so/sx,794,EIE,SLUAI,EVFL,Sanguine [Dominant],611,92,82,71,32,23,64,68,41,34,28,11,58
Courtney Love,enfp,730,99%,40%,66%,97%,Se,Fi,Te,Ni,sx/so,837,SEE,SLUEI,VFLE,Choleric [Dominant],274,90,80,54,43,18,77,66,35,34,27,8,44
Belle Delphine,enfp,670,92%,85%,60%,92%,Ne,Fi,Te,Si,sx/sp,379,EIE,SCUEI,FEVL,Sanguine [Dominant],302,91,84,77,35,20,69,64,34,21,20,7,52
